Ticker_Name,Ticker,Texts,Like_Count,Datetime
uob,U11.SI,"Via WEPRESENT
Manifesto by The Raincoats - 10 rules for life from the British post-punk pioneers Ana da Silva and Gina Birch
https://t.co/I4T9z4nuNL

@UoBrisTheatre @brisunimusic https://t.co/wdZVxELwLG",2,2023-02-24 21:13:08
uob,U11.SI,".@UoBSERENE @SchoolofEng_UoB 1st year PhD student, Josh Ruck, gave an excellent talk to a packed house at the @csa_asc on the how to use ground scatter from @SuperDARNCanada radars to better understand models of the ionosphere and how they affect Over-The-Horizon Radar. https://t.co/tC1Fx29ESY",7,2023-02-25 02:28:12
uob,U11.SI,"@lawrencekingyo Mate, I’m from Singapore. Why u blindly believing whats google is saying? Those banks are neo banks. They’re not huge like DBS Bank, ocbc bank and uob banks",1,2023-02-25 03:45:07
uob,U11.SI,"@traudenbusch @Digibizth Well maybe some of the good benefits of the Citi card will rub off on UOB cards...that's my hope as I'm already a UOB customer

But then again, might not cause not sustainable from a profit perspective?  Otherwise, why is Citi retail withdrawing everywhere",1,2023-02-25 05:28:29
uob,U11.SI,"more examples, from @UoBrisSPS @EdinburghUni @sheffielduni https://t.co/tNyI6HCxFD UoB has now got rid of David Miller, but only when he repeated an anti-Semitic conspiracy theory not for his Syrian regime chemical attacks denialism.",0,2023-02-25 08:37:48
uob,U11.SI,I love that everyone knows that St Pauls is probably the hotspot for people from Weston who think UoB is better than UWE.,0,2023-02-25 12:34:48
uob,U11.SI,Generous Funding for Masters Students from India @PTRBirmingham @UOB_India @mehool @NishkamCentre,14,2023-02-25 12:44:23
uob,U11.SI,4/11 This was followed by Dr Sophie Hatchwell (From UoB) who focused upon teaching strategies in her presentation titled 'Using Co-authored Learning Agreements to teach challenging subject matter',3,2023-02-25 14:56:40
uob,U11.SI,A real team effort brought this together and now happy to see this paper published. More to come from the @GehmlichKatja group at @ICVS_UoB . Congratulations to everyone involved!,8,2023-02-25 19:01:21
uob,U11.SI,"'Dramatic Beats' Archive on 4 @BBCRadio4
""Drawing on some of the greatest examples from the last century, Michael Symmons Roberts celebrates the collaborative art of radio drama - 'the National Theatre of the Air'""
https://t.co/wwdPCiaujx",3,2023-02-25 21:52:57
uob,U11.SI,"Some highlights from our Islamic Geometry Workshop📐✨

Artist Safira Ali was invited to show us how to construct an 8-point geometric star, and we then painted our 8- point stars using watercoloured paints😍

A very insightful event into the Islamic Arts! 🤍 https://t.co/Zs3xoaM04b",2,2023-02-26 11:48:38
uob,U11.SI,"🚨 The Department of Film and Creative Writing at UoB seeks to appoint an Assistant Professor in Film (Enterprise, Engagement, and Impact) from 9/2023 to 31/8/2025 to develop and deliver new programmes in film, digital media, and communication. 🚨 https://t.co/OUWjguYupD",6,2023-02-26 14:49:13
uob,U11.SI,Beautiful investigation here of the value of community for recovery from addiction with a focus on the amazing work at the @unibirmingham @BTW_UoB. Recovery is a collective endeavour. So wonderful to hear about student flourishing! ⁦@HoratioClare⁩  https://t.co/fsxhYKlDvx,8,2023-02-26 16:15:34
